coefficient_name,value
coef_abm2_calibration_alternative_specific_constant_adjustment_nj_0out1in,0.3
coef_abm2_calibration_alternative_specific_constant_adjustment_nj_0out2in,0.3
coef_abm2_calibration_alternative_specific_constant_adjustment_nj_0out3in,0.3
coef_abm2_calibration_alternative_specific_constant_adjustment_nj_1out0in,0.3
coef_abm2_calibration_alternative_specific_constant_adjustment_nj_1out1in,0.3
coef_abm2_calibration_alternative_specific_constant_adjustment_nj_1out2in,0.3
coef_abm2_calibration_alternative_specific_constant_adjustment_nj_1out3in,0.3
coef_abm2_calibration_alternative_specific_constant_adjustment_nj_2out0in,0.3
coef_abm2_calibration_alternative_specific_constant_adjustment_nj_2out1in,0.3
coef_abm2_calibration_alternative_specific_constant_adjustment_nj_2out2in,0.3
coef_abm2_calibration_alternative_specific_constant_adjustment_nj_2out3in,0.3
coef_abm2_calibration_alternative_specific_constant_adjustment_nj_3out0in,0.3
coef_abm2_calibration_alternative_specific_constant_adjustment_nj_3out1in,0.3
coef_abm2_calibration_alternative_specific_constant_adjustment_nj_3out2in,0.3
coef_abm2_calibration_alternative_specific_constant_adjustment_nj_3out3in,0.3
coef_telecommutes_1_day_per_week_0out1in,-0.126
coef_telecommutes_1_day_per_week_0out2in,-0.301
coef_telecommutes_1_day_per_week_0out3in,-0.301
coef_telecommutes_1_day_per_week_1out0in,-0.126
coef_telecommutes_1_day_per_week_1out1in,-0.301
coef_telecommutes_1_day_per_week_1out2in,-0.301
coef_telecommutes_1_day_per_week_1out3in,-0.611
coef_telecommutes_1_day_per_week_2out0in,-0.301
coef_telecommutes_1_day_per_week_2out1in,-0.301
coef_telecommutes_1_day_per_week_2out2in,-0.611
coef_telecommutes_1_day_per_week_2out3in,-0.611
coef_telecommutes_1_day_per_week_3out0in,-0.301
coef_telecommutes_1_day_per_week_3out1in,-0.611
coef_telecommutes_1_day_per_week_3out2in,-0.611
coef_telecommutes_1_day_per_week_3out3in,-0.611
coef_telecommutes_23_days_per_week_0out1in,-0.149
coef_telecommutes_23_days_per_week_0out2in,-0.768
coef_telecommutes_23_days_per_week_0out3in,-0.768
coef_telecommutes_23_days_per_week_1out0in,-0.768
coef_telecommutes_23_days_per_week_1out1in,-0.768
coef_telecommutes_23_days_per_week_1out2in,-0.768
coef_telecommutes_23_days_per_week_1out3in,-0.909
coef_telecommutes_23_days_per_week_2out0in,-0.768
coef_telecommutes_23_days_per_week_2out1in,-0.768
coef_telecommutes_23_days_per_week_2out2in,-0.909
coef_telecommutes_23_days_per_week_2out3in,-0.909
coef_telecommutes_23_days_per_week_3out0in,-0.768
coef_telecommutes_23_days_per_week_3out1in,-0.909
coef_telecommutes_23_days_per_week_3out2in,-0.909
coef_telecommutes_23_days_per_week_3out3in,-0.909
coef_telecommutes_4p_days_per_week_0out1in,-0.158
coef_telecommutes_4p_days_per_week_0out2in,-0.473
coef_telecommutes_4p_days_per_week_0out3in,-0.473
coef_telecommutes_4p_days_per_week_1out0in,-0.473
coef_telecommutes_4p_days_per_week_1out1in,-0.473
coef_telecommutes_4p_days_per_week_1out2in,-0.473
coef_telecommutes_4p_days_per_week_1out3in,-1.47
coef_telecommutes_4p_days_per_week_2out0in,-0.473
coef_telecommutes_4p_days_per_week_2out1in,-0.473
coef_telecommutes_4p_days_per_week_2out2in,-1.47
coef_telecommutes_4p_days_per_week_2out3in,-1.47
coef_telecommutes_4p_days_per_week_3out0in,-0.473
coef_telecommutes_4p_days_per_week_3out1in,-1.47
coef_telecommutes_4p_days_per_week_3out2in,-1.47
coef_telecommutes_4p_days_per_week_3out3in,-1.47
